,usdinr_close,usdbrl_close,inr_brl_synthetic,roll_mean,roll_upper,roll_lower,is_outlier
2021-03-04,72.88069915771484,5.617499828338623,12.97386762524732,,,,False
2021-03-05,73.13179779052734,5.668300151824951,12.901892248416312,,,,False
2021-03-06,73.13179779052734,,,,,,False
2021-03-07,73.13179779052734,,,,,,False
2021-03-08,73.1333999633789,5.689499855041504,12.854099978326726,73.0819,73.4193,72.7445,False
2021-03-09,73.33000183105469,5.874599933624268,12.482552456268214,73.1232,73.5515,72.695,False
2021-03-10,72.7759017944336,5.801499843597412,12.54432539108826,73.0736,73.6286,72.5187,False
2021-03-11,72.70600128173828,5.67110013961792,12.820440389302792,73.0277,73.6727,72.3827,False
2021-03-12,72.63899993896484,5.534800052642822,13.12405132038696,72.9845,73.7022,72.2668,False
2021-03-13,72.63899993896484,,,72.9499,73.7018,72.1981,False
2021-03-14,72.63899993896484,,,72.9217,73.6884,72.155,False
2021-03-15,72.68299865722656,5.495155811309815,13.226740269608838,72.9018,73.6615,72.1421,False
2021-03-16,72.51529693603516,5.614500045776367,12.91571757855562,72.8721,73.6673,72.0768,False
2021-03-17,72.5156021118164,5.6234002113342285,12.895330118183264,72.8466,73.6624,72.0308,False
2021-03-18,72.29560089111328,5.583099842071533,12.94900735006182,72.8099,73.7043,71.9154,False
2021-03-19,72.6688003540039,5.558700084686279,13.072984555184034,72.801,73.6717,71.9304,False
2021-03-20,72.6688003540039,,,72.7933,73.6417,71.9448,False
2021-03-21,72.6688003540039,,,72.7863,73.6141,71.9586,False
2021-03-22,72.40499877929688,5.493563175201416,13.179970170570073,72.7663,73.6125,71.9201,False
2021-03-23,72.38050079345703,5.505499839782715,13.14694449183994,72.747,73.6103,71.8837,False
2021-03-24,72.61219787597656,5.520400047302246,13.15343041333776,72.7406,73.5867,71.8945,False
2021-03-25,72.64559936523438,5.61959981918335,12.927183732415909,72.7363,73.5642,71.9083,False
2021-03-26,72.61280059814453,5.648399829864502,12.855463987202624,72.7309,73.5435,71.9183,False
2021-03-27,72.61280059814453,,,72.726,73.524,71.928,False
